latitude,division,area_url,image_url,matched_address,longitude,area,region
,chiba,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE905CC8C/,https://gvs.weathernews.jp/livecam/7CDDE905CC8C/640/,,,乙浜港沖,kanto
,aichi,https://weathernews.jp/onebox/livecam/chubu/aichi/7CDDE9067FA6/,https://gvs.weathernews.jp/livecam/7CDDE9067FA6/640/,,,JR三河安城駅(南東)→南東方面,chubu
,kanagawa,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE906BB57/,https://gvs.weathernews.jp/livecam/7CDDE906BB57/640/,,,別所熊野神社方向,kanto
,nagasaki,https://weathernews.jp/onebox/livecam/kyushu/nagasaki/410002090/,https://gvs.weathernews.jp/livecam/410002090/640/,,,大村湾PA,kyushu
,gifu,https://weathernews.jp/onebox/livecam/chubu/gifu/410000241/,https://gvs.weathernews.jp/livecam/410000241/640/,,,奥飛騨温泉郷,chubu
,yamaguchi,https://weathernews.jp/onebox/livecam/chugoku/yamaguchi/7CDDE906B9F7/,https://gvs.weathernews.jp/livecam/7CDDE906B9F7/640/,,,吉藏,chugoku
,fukushima,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE90682FA/,https://gvs.weathernews.jp/livecam/7CDDE90682FA/640/,,,逆川,tohoku
,miyazaki,https://weathernews.jp/onebox/livecam/kyushu/miyazaki/7CDDE906F571/,https://gvs.weathernews.jp/livecam/7CDDE906F571/640/,,,鞍岡丁子,kyushu
,ehime,https://weathernews.jp/onebox/livecam/shikoku/ehime/7CDDE9067A6E/,https://gvs.weathernews.jp/livecam/7CDDE9067A6E/640/,,,松柏,shikoku
,nagano,https://weathernews.jp/onebox/livecam/chubu/nagano/410000238/,https://gvs.weathernews.jp/livecam/410000238/640/,,,富士見町（南西方向）,chubu
,kanagawa,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE907E80B/,https://gvs.weathernews.jp/livecam/7CDDE907E80B/640/,,,日向山方向,kanto
,shizuoka,https://weathernews.jp/onebox/livecam/chubu/shizuoka/410001429/,https://gvs.weathernews.jp/livecam/410001429/640/,,,清水港,chubu
,ehime,https://weathernews.jp/onebox/livecam/shikoku/ehime/7CDDE9067A6E/,https://gvs.weathernews.jp/livecam/7CDDE9067A6E/640/,,,松柏5/10 00:44,shikoku
,chiba,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE907C733/,https://gvs.weathernews.jp/livecam/7CDDE907C733/640/,,,八街ろ5/10 00:16,kanto
,gunma,https://weathernews.jp/onebox/livecam/kanto/gunma/7CDDE9067ED5/,https://gvs.weathernews.jp/livecam/7CDDE9067ED5/640/,,,丸沼高原　第3駐車場,kanto
,chiba,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE907C733/,https://gvs.weathernews.jp/livecam/7CDDE907C733/640/,,,八街ろ5/10 00:44,kanto
,tokushima,https://weathernews.jp/onebox/livecam/shikoku/tokushima/7CDDE906F4B8/,https://gvs.weathernews.jp/livecam/7CDDE906F4B8/640/,,,石井町5/10 00:44,shikoku
,yamaguchi,https://weathernews.jp/onebox/livecam/chugoku/yamaguchi/7CDDE906B9F7/,https://gvs.weathernews.jp/livecam/7CDDE906B9F7/640/,,,吉藏5/10 00:44,chugoku
,yamaguchi,https://weathernews.jp/onebox/livecam/chugoku/yamaguchi/7CDDE906B9F7/,https://gvs.weathernews.jp/livecam/7CDDE906B9F7/640/,,,吉藏5/10 00:25,chugoku
,ehime,https://weathernews.jp/onebox/livecam/shikoku/ehime/7CDDE9067A6E/,https://gvs.weathernews.jp/livecam/7CDDE9067A6E/640/,,,松柏5/10 00:17,shikoku
,tokushima,https://weathernews.jp/onebox/livecam/shikoku/tokushima/7CDDE9068AD5/,https://gvs.weathernews.jp/livecam/7CDDE9068AD5/640/,,,昭和町5/10 00:25,shikoku
,miyazaki,https://weathernews.jp/onebox/livecam/kyushu/miyazaki/7CDDE906F571/,https://gvs.weathernews.jp/livecam/7CDDE906F571/640/,,,鞍岡丁子5/10 00:44,kyushu
,okayama,https://weathernews.jp/onebox/livecam/chugoku/okayama/410002025/,https://gvs.weathernews.jp/livecam/410002025/640/,,,蒜山高原SA,chugoku
,kumamoto,https://weathernews.jp/onebox/livecam/kyushu/kumamoto/7CDDE907F216/,https://gvs.weathernews.jp/livecam/7CDDE907F216/640/,,,上天草市松島町5/10 00:44,kyushu
,kumamoto,https://weathernews.jp/onebox/livecam/kyushu/kumamoto/7CDDE907F216/,https://gvs.weathernews.jp/livecam/7CDDE907F216/640/,,,上天草市松島町5/10 00:25,kyushu
,chiba,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE906F904/,https://gvs.weathernews.jp/livecam/7CDDE906F904/640/,,,"前原西, 船橋市",kanto
,fukushima,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE9068BF4/,https://gvs.weathernews.jp/livecam/7CDDE9068BF4/640/,,,常磐,tohoku
,miyazaki,https://weathernews.jp/onebox/livecam/kyushu/miyazaki/7CDDE906F571/,https://gvs.weathernews.jp/livecam/7CDDE906F571/640/,,,鞍岡丁子5/10 00:17,kyushu
,niigata,https://weathernews.jp/onebox/livecam/chubu/niigata/410001350/,https://gvs.weathernews.jp/livecam/410001350/640/,,,新潟港,chubu
,chiba,https://weathernews.jp/onebox/livecam/kanto/chiba/410001332/,https://gvs.weathernews.jp/livecam/410001332/640/,,,市原市内,kanto
,fukushima,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE906BB48/,https://gvs.weathernews.jp/livecam/7CDDE906BB48/640/,,,『★』小名浜『★』,tohoku
,tokushima,https://weathernews.jp/onebox/livecam/shikoku/tokushima/7CDDE9068AD5/,https://gvs.weathernews.jp/livecam/7CDDE9068AD5/640/,,,昭和町5/10 00:44,shikoku
,mie,https://weathernews.jp/onebox/livecam/kinki/mie/7CDDE9068781/,https://gvs.weathernews.jp/livecam/7CDDE9068781/640/,,,東員町（東の空）,kinki
,aomori,https://weathernews.jp/onebox/livecam/tohoku/aomori/7CDDE907A5C5/,https://gvs.weathernews.jp/livecam/7CDDE907A5C5/640/,,,東滝5/10 00:44,tohoku
